Frame #,# Obj,X,Y,Z,Doppler,,y,m,d,h,m,s
8030,1,0,0,0,0,163,2019,7,13,11,18,11.878
8031,1,0,0,0,0,163,2019,7,13,11,18,11.893
8032,1,0,0,0,0,163,2019,7,13,11,18,11.908
8033,1,0,0,0,0,163,2019,7,13,11,18,11.942
8034,1,0,0,0,0,163,2019,7,13,11,18,11.949
8035,1,0,0,0,0,163,2019,7,13,11,18,11.957
8036,1,0,0,0,0,163,2019,7,13,11,18,11.964
8037,1,0,0,0,0,163,2019,7,13,11,18,11.974
8038,1,0,0,0,0,163,2019,7,13,11,18,11.981
8039,1,0,0,0,0,163,2019,7,13,11,18,12.005
8040,1,0,0,0,0,163,2019,7,13,11,18,12.011
8041,1,0,0,0,0,163,2019,7,13,11,18,12.018
8042,1,0,0,0,0,163,2019,7,13,11,18,12.024
8043,1,0,0,0,0,163,2019,7,13,11,18,12.029
8044,4,-1.8738,6.3392,0.83057,0,155,2019,7,13,11,18,12.035
8044,4,-1.852,6.2778,0.72118,0.14707,155,2019,7,13,11,18,12.035
8044,4,-1.6559,6.3099,1.1466,0.14707,198,2019,7,13,11,18,12.035
8044,4,-1.4574,6.4333,0.93592,0.14707,195,2019,7,13,11,18,12.035
8045,1,0,0,0,0,155,2019,7,13,11,18,12.041
8046,1,0,0,0,0,155,2019,7,13,11,18,12.047
8047,1,0,0,0,0,155,2019,7,13,11,18,12.053
8048,1,0,0,0,0,155,2019,7,13,11,18,12.059
8049,1,0,0,0,0,155,2019,7,13,11,18,12.064
8050,1,0,0,0,0,155,2019,7,13,11,18,12.07
8051,1,0,0,0,0,155,2019,7,13,11,18,12.076
8052,1,0,0,0,0,155,2019,7,13,11,18,12.082
8053,1,0,0,0,0,155,2019,7,13,11,18,12.088
8054,1,0,0,0,0,155,2019,7,13,11,18,12.094
8055,1,0,0,0,0,155,2019,7,13,11,18,12.1
8056,1,0,0,0,0,155,2019,7,13,11,18,12.105
8057,1,0,0,0,0,155,2019,7,13,11,18,12.111
8058,1,0,0,0,0,155,2019,7,13,11,18,12.116
8059,1,0,0,0,0,155,2019,7,13,11,18,12.121
8060,1,0,0,0,0,155,2019,7,13,11,18,12.127
8061,1,0,0,0,0,155,2019,7,13,11,18,12.131
