Frame #,# Obj,X,Y,Z,Doppler,,y,m,d,h,m,s
8366,1,-1.3557,6.035,0.38735,-0.14707,151,2019,7,13,12,2,30.989
8367,1,0,0,0,0,151,2019,7,13,12,2,31.002
8368,2,-1.162,6.0061,0.99299,-0.14707,172,2019,7,13,12,2,31.014
8368,2,-1.3642,6.0481,0.67144,-0.14707,152,2019,7,13,12,2,31.014
8369,1,-1.5494,5.9812,0.48328,-0.14707,154,2019,7,13,12,2,31.045
8370,1,0,0,0,0,154,2019,7,13,12,2,31.051
8371,6,-1.3472,5.9599,0.7719,0.14707,150,2019,7,13,12,2,31.059
8371,6,-1.3557,5.9973,0.77675,0.14707,180,2019,7,13,12,2,31.059
8371,6,-1.1693,6.033,1.0612,0.14707,159,2019,7,13,12,2,31.059
8371,6,-1.7104,5.7823,0.78862,0.29415,166,2019,7,13,12,2,31.059
8371,6,-1.3557,5.7668,1.8208,0.29415,159,2019,7,13,12,2,31.059
8371,6,-1.9004,5.7265,0.76016,0.44122,150,2019,7,13,12,2,31.059
8372,2,-1.3896,6.1771,0.51584,0.29415,151,2019,7,13,12,2,31.065
8372,2,-1.3896,6.1646,0.64848,0.44122,161,2019,7,13,12,2,31.065
8373,2,-1.3896,6.0823,1.1953,-0.14707,176,2019,7,13,12,2,31.388
8373,2,-1.1983,6.2136,0.8957,-0.14707,151,2019,7,13,12,2,31.388
8374,10,-1.5591,6.0069,0.61478,0,169,2019,7,13,12,2,31.402
8374,10,-1.7866,6.061,0.65271,-0.44122,157,2019,7,13,12,2,31.402
8374,10,-1.5784,5.9346,1.4669,-0.29415,168,2019,7,13,12,2,31.402
8374,10,-1.5881,6.0842,0.90205,-0.29415,190,2019,7,13,12,2,31.402
8374,10,-1.5978,6.1752,0.40158,-0.29415,153,2019,7,13,12,2,31.402
8374,10,-1.7431,5.8816,0.88211,-0.14707,170,2019,7,13,12,2,31.402
8374,10,-1.7539,5.9501,0.64077,-0.14707,200,2019,7,13,12,2,31.402
8374,10,-1.5687,6.0047,0.92609,-0.14707,181,2019,7,13,12,2,31.402
8374,10,-1.3811,5.7371,2.2454,-0.14707,176,2019,7,13,12,2,31.402
8374,10,-1.5881,5.9422,1.5881,-0.14707,187,2019,7,13,12,2,31.402
8375,13,-1.7539,5.961,0.5306,0.14707,154,2019,7,13,12,2,31.407
8375,13,-1.1838,6.1675,0.65083,0.29415,159,2019,7,13,12,2,31.407
8375,13,-1.3896,6.1859,0.39703,0.29415,161,2019,7,13,12,2,31.407
8375,13,-1.3811,6.1445,0.44748,0.44122,208,2019,7,13,12,2,31.407
8375,13,-1.3896,6.179,0.49324,0.44122,219,2019,7,13,12,2,31.407
8375,13,-1.1983,6.269,0.33255,0.44122,185,2019,7,13,12,2,31.407
8375,13,-1.5687,6.0629,0.39428,0.5883,164,2019,7,13,12,2,31.407
8375,13,-1.3811,6.14,0.50614,0.5883,242,2019,7,13,12,2,31.407
8375,13,-1.1911,6.2177,0.52455,0.5883,262,2019,7,13,12,2,31.407
8375,13,-1.1983,6.24,0.68804,0.5883,233,2019,7,13,12,2,31.407
8375,13,-1.3811,6.1142,0.75606,0.73537,209,2019,7,13,12,2,31.407
8375,13,-1.1911,6.2192,0.50713,0.73537,227,2019,7,13,12,2,31.407
8375,13,-1.3981,6.1714,0.89783,0.73537,195,2019,7,13,12,2,31.407
8376,12,-1.9246,5.7557,1.048,0.14707,151,2019,7,13,12,2,31.412
8376,12,-1.7431,5.8005,1.3135,0.14707,188,2019,7,13,12,2,31.412
8376,12,-1.9488,5.8999,0.53268,0.14707,179,2019,7,13,12,2,31.412
8376,12,-1.3981,6.2236,0.39945,0.29415,162,2019,7,13,12,2,31.412
8376,12,-1.1911,6.2137,0.5703,0.44122,172,2019,7,13,12,2,31.412
8376,12,-1.3981,6.2254,0.36953,0.44122,210,2019,7,13,12,2,31.412
8376,12,-1.2056,6.289,0.58267,0.44122,201,2019,7,13,12,2,31.412
8376,12,-1.5881,6.0529,1.0928,0.5883,151,2019,7,13,12,2,31.412
8376,12,-1.3981,6.2017,0.65699,0.5883,194,2019,7,13,12,2,31.412
8376,12,-1.4065,6.2359,0.69229,0.5883,189,2019,7,13,12,2,31.412
8376,12,-1.5494,5.9306,0.91465,-0.14707,170,2019,7,13,12,2,31.412
8376,12,-1.3642,5.9069,1.4625,-0.14707,157,2019,7,13,12,2,31.412
8377,1,0,0,0,0,151,2019,7,13,12,2,31.418
8378,7,-1.3896,6.1812,0.46441,-0.44122,178,2019,7,13,12,2,31.424
8378,7,-1.1983,6.2658,0.38892,-0.44122,221,2019,7,13,12,2,31.424
8378,7,-1.4065,6.2549,0.49211,-0.44122,217,2019,7,13,12,2,31.424
8378,7,-1.0107,6.273,1.2129,-0.44122,163,2019,7,13,12,2,31.424
8378,7,-1.5881,6.0981,0.80292,-0.29415,168,2019,7,13,12,2,31.424
8378,7,-1.3981,6.2133,0.53617,-0.29415,203,2019,7,13,12,2,31.424
8378,7,-1.4065,6.2198,0.82446,-0.29415,192,2019,7,13,12,2,31.424
8379,3,-1.5881,6.1308,0.49536,-0.44122,188,2019,7,13,12,2,31.43
8379,3,-1.5978,6.1821,0.27571,-0.44122,177,2019,7,13,12,2,31.43
8379,3,-1.1911,6.2024,0.68184,-0.29415,155,2019,7,13,12,2,31.43
