Frame #,# Obj,X,Y,Z,Doppler,Intensity,y,m,d,h,m,s
8590,2,1.5684,2.2344,0.56641,0.29379,29,2019,7,13,12,2,49.961
8590,2,1.5898,2.291,0.45703,0.29379,27,2019,7,13,12,2,49.961
8591,1,1.5,2.3691,0.3418,0.29379,28,2019,7,13,12,2,49.969
8593,3,1.4805,2.293,0.56055,0.29379,26,2019,7,13,12,2,49.98
8593,3,1.6328,2.252,0.82617,0.29379,26,2019,7,13,12,2,49.98
8593,3,1.6543,2.2637,0.88281,0.29379,28,2019,7,13,12,2,49.98
8594,3,1.6992,2.2676,0.40625,0.29379,31,2019,7,13,12,2,49.984
8594,3,1.6328,2.332,0.55859,0.29379,33,2019,7,13,12,2,49.984
8594,3,1.7461,2.2402,0.76172,0.29379,34,2019,7,13,12,2,49.984
8595,1,1.6543,2.3027,0.77734,0.29379,27,2019,7,13,12,2,49.987
8597,2,1.7461,2.2207,0.8125,0.29379,35,2019,7,13,12,2,49.994
8597,2,1.7676,2.2559,0.80664,0.29379,32,2019,7,13,12,2,49.994
8609,4,1.7676,2.2656,0.77734,0,18,2019,7,13,12,2,50.034
8609,4,1.7227,2.3164,0.29102,-0.29379,21,2019,7,13,12,2,50.034
8609,4,1.6543,2.3633,0.56445,-0.29379,28,2019,7,13,12,2,50.034
8609,4,1.6758,2.373,0.6543,-0.29379,29,2019,7,13,12,2,50.034
8611,4,1.5684,2.2402,0.53711,0.29379,29,2019,7,13,12,2,50.041
8611,4,1.4609,2.3242,0.15625,-0.29379,27,2019,7,13,12,2,50.041
8611,4,1.5684,2.3008,0.11328,-0.29379,44,2019,7,13,12,2,50.041
8611,4,1.5898,2.3359,-0.011719,-0.29379,33,2019,7,13,12,2,50.041
8613,3,1.7227,2.2754,0.52539,0,18,2019,7,13,12,2,50.048
8613,3,1.7227,2.2754,0.52148,-0.29379,32,2019,7,13,12,2,50.048
8613,3,1.6543,2.3887,0.44531,-0.29379,32,2019,7,13,12,2,50.048
8614,3,1.5898,2.3242,0.22461,-0.29379,30,2019,7,13,12,2,50.051
8614,3,1.6992,2.2578,0.45703,-0.29379,38,2019,7,13,12,2,50.051
8614,3,1.7227,2.2656,0.56055,-0.29379,38,2019,7,13,12,2,50.051
8615,1,1.5898,2.3145,-0.31836,-0.29379,33,2019,7,13,12,2,50.054
8616,4,1.5898,2.2988,0.41602,-0.29379,21,2019,7,13,12,2,50.058
8616,4,1.6113,2.3184,0.48242,-0.29379,37,2019,7,13,12,2,50.058
8616,4,1.6328,2.3516,0.47461,-0.29379,33,2019,7,13,12,2,50.058
8616,4,1.7188,2.5039,0.32227,-0.29379,37,2019,7,13,12,2,50.058
8617,2,1.5684,2.291,-0.24219,-0.29379,27,2019,7,13,12,2,50.061
8617,2,1.5898,2.3164,-0.29492,-0.29379,28,2019,7,13,12,2,50.061
8620,11,1.623,2.5742,0.25977,0,21,2019,7,13,12,2,50.071
8620,11,1.6016,2.5117,0.4707,0.29379,42,2019,7,13,12,2,50.071
8620,11,1.623,2.5547,0.41211,0.29379,51,2019,7,13,12,2,50.071
8620,11,1.6426,2.5918,0.38477,0.29379,31,2019,7,13,12,2,50.071
8620,11,1.5254,2.2246,-0.27344,-0.88138,38,2019,7,13,12,2,50.071
8620,11,1.5469,2.2578,-0.26172,-0.88138,49,2019,7,13,12,2,50.071
8620,11,1.5684,2.2949,-0.20898,-0.88138,31,2019,7,13,12,2,50.071
8620,11,1.4395,2.2871,-0.19727,-0.58758,38,2019,7,13,12,2,50.071
8620,11,1.4609,2.3223,-0.16406,-0.58758,51,2019,7,13,12,2,50.071
8620,11,1.4805,2.3574,-0.11523,-0.58758,35,2019,7,13,12,2,50.071
8620,11,1.4609,2.3223,-0.16992,-0.29379,26,2019,7,13,12,2,50.071
8621,13,1.4199,2.2617,0.099609,0,29,2019,7,13,12,2,50.075
8621,13,1.5254,2.2363,0.13281,0,32,2019,7,13,12,2,50.075
8621,13,1.6973,2.4824,-0.24023,0.58758,45,2019,7,13,12,2,50.075
8621,13,1.623,2.5742,-0.25391,0.58758,41,2019,7,13,12,2,50.075
8621,13,1.6016,2.5547,-0.041016,0.88138,34,2019,7,13,12,2,50.075
8621,13,1.623,2.5879,0.042969,0.88138,32,2019,7,13,12,2,50.075
8621,13,1.4199,2.2363,-0.35156,-0.58758,50,2019,7,13,12,2,50.075
8621,13,1.5254,2.2207,-0.29883,-0.58758,52,2019,7,13,12,2,50.075
8621,13,1.5469,2.2559,-0.27734,-0.58758,24,2019,7,13,12,2,50.075
